Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,1,-4.99999E+000,-3.88170E-009,36.92800E-003
1,1,2,-4.98999E+000,-4.40150E-009,58.69500E-003
1,1,3,-4.98001E+000,-4.20350E-009,79.97700E-003
1,1,4,-4.97001E+000,-3.77920E-009,101.28100E-003
1,1,5,-4.95999E+000,-4.11830E-009,122.57100E-003
1,1,6,-4.95001E+000,-4.40670E-009,144.80100E-003
1,1,7,-4.94001E+000,-3.93050E-009,166.08300E-003
1,1,8,-4.92999E+000,-3.88850E-009,187.35300E-003
1,1,9,-4.91999E+000,-4.39280E-009,208.65600E-003
1,1,10,-4.91001E+000,-4.17970E-009,229.95000E-003
1,1,11,-4.90001E+000,-3.76240E-009,251.20700E-003
1,1,12,-4.88999E+000,-4.09760E-009,272.50700E-003
1,1,13,-4.88001E+000,-4.45810E-009,293.81900E-003
1,1,14,-4.87001E+000,-4.01820E-009,315.06800E-003
1,1,15,-4.85999E+000,-3.78130E-009,336.37400E-003
1,1,16,-4.84999E+000,-4.27600E-009,357.64500E-003
1,1,17,-4.84001E+000,-4.29420E-009,378.91500E-003
1,1,18,-4.83001E+000,-3.83360E-009,400.16700E-003
1,1,19,-4.81999E+000,-4.02670E-009,421.76800E-003
1,1,20,-4.81000E+000,-4.43940E-009,443.05000E-003
1,1,21,-4.80001E+000,-4.06730E-009,464.30300E-003
1,1,22,-4.79000E+000,-3.74100E-009,485.62000E-003
1,1,23,-4.77999E+000,-4.18740E-009,506.89100E-003
1,1,24,-4.77001E+000,-4.36380E-009,528.18000E-003
1,1,25,-4.76001E+000,-3.88720E-009,549.47400E-003
1,1,26,-4.75001E+000,-3.93260E-009,582.37800E-003
1,1,27,-4.73999E+000,-3.84850E-009,603.67800E-003
1,1,28,-4.72999E+000,-4.32970E-009,624.97400E-003
1,1,29,-4.72001E+000,-4.18550E-009,646.28000E-003
1,1,30,-4.71001E+000,-3.76090E-009,667.57300E-003
1,1,31,-4.69999E+000,-4.10550E-009,689.32500E-003
1,1,32,-4.69001E+000,-4.42560E-009,710.60400E-003
1,1,33,-4.68001E+000,-3.97640E-009,731.90800E-003
1,1,34,-4.66999E+000,-3.82050E-009,753.35000E-003
1,1,35,-4.65999E+000,-4.30900E-009,774.63900E-003
1,1,36,-4.65001E+000,-4.18020E-009,796.31900E-003
1,1,37,-4.64001E+000,-3.75100E-009,817.61000E-003
1,1,38,-4.62999E+000,-4.07040E-009,838.88000E-003
1,1,39,-4.62000E+000,-4.43490E-009,860.18200E-003
1,1,40,-4.61001E+000,-4.00000E-009,881.45200E-003
1,1,41,-4.59999E+000,-3.75040E-009,902.70200E-003
1,1,42,-4.58999E+000,-4.23740E-009,924.01800E-003
1,1,43,-4.58001E+000,-4.27870E-009,945.30300E-003
1,1,44,-4.57001E+000,-3.82560E-009,966.55900E-003
1,1,45,-4.55999E+000,-3.95160E-009,987.87000E-003
1,1,46,-4.55000E+000,-4.40520E-009,1.00920E+000
1,1,47,-4.54001E+000,-4.06780E-009,1.03049E+000
1,1,48,-4.53000E+000,-3.69640E-009,1.05173E+000
1,1,49,-4.51999E+000,-4.25260E-009,1.07412E+000
1,1,50,-4.50999E+000,-3.97890E-009,1.10482E+000
1,1,51,-4.50000E+000,-4.39540E-009,1.12612E+000
1,1,52,-4.49001E+000,-4.01250E-009,1.14742E+000
1,1,53,-4.48000E+000,-3.67610E-009,1.16873E+000
1,1,54,-4.46999E+000,-4.11700E-009,1.19003E+000
1,1,55,-4.46001E+000,-4.28090E-009,1.21134E+000
1,1,56,-4.45001E+000,-3.80120E-009,1.23259E+000
1,1,57,-4.43999E+000,-3.99690E-009,1.25562E+000
1,1,58,-4.43000E+000,-4.33150E-009,1.27691E+000
1,1,59,-4.42001E+000,-3.64010E-009,1.30080E+000
1,1,60,-4.40999E+000,-3.93590E-009,1.32206E+000
1,1,61,-4.40001E+000,-4.27690E-009,1.34379E+000
1,1,62,-4.39001E+000,-3.82290E-009,1.36508E+000
1,1,63,-4.37999E+000,-3.63830E-009,1.38639E+000
1,1,64,-4.36999E+000,-4.12840E-009,1.40769E+000
1,1,65,-4.36001E+000,-4.06790E-009,1.42895E+000
1,1,66,-4.35001E+000,-3.60880E-009,1.45025E+000
1,1,67,-4.33999E+000,-3.82850E-009,1.47153E+000
1,1,68,-4.33000E+000,-4.24250E-009,1.49283E+000
1,1,69,-4.32001E+000,-3.84770E-009,1.51408E+000
1,1,70,-4.31000E+000,-3.51780E-009,1.53538E+000
1,1,71,-4.29999E+000,-3.97250E-009,1.55665E+000
1,1,72,-4.29001E+000,-4.13110E-009,1.57791E+000
1,1,73,-4.28001E+000,-3.65370E-009,1.59919E+000
1,1,74,-4.27000E+000,-4.21960E-009,1.62691E+000
1,1,75,-4.26001E+000,-3.69430E-009,1.64820E+000
1,1,76,-4.24999E+000,-3.56500E-009,1.66951E+000
1,1,77,-4.23999E+000,-4.02920E-009,1.69083E+000
1,1,78,-4.23001E+000,-4.00090E-009,1.71212E+000
1,1,79,-4.22001E+000,-3.54120E-009,1.73341E+000
1,1,80,-4.20999E+000,-3.72740E-009,1.75469E+000
1,1,81,-4.20000E+000,-4.17880E-009,1.77597E+000
1,1,82,-4.19001E+000,-3.78530E-009,1.79726E+000
1,1,83,-4.18000E+000,-3.45590E-009,1.81852E+000
1,1,84,-4.16999E+000,-3.96360E-009,1.84028E+000
1,1,85,-4.16001E+000,-4.04520E-009,1.86157E+000
1,1,86,-4.15001E+000,-3.57260E-009,1.88288E+000
1,1,87,-4.13999E+000,-3.67840E-009,1.90424E+000
1,1,88,-4.13000E+000,-4.14770E-009,1.92554E+000
1,1,89,-4.12001E+000,-3.79980E-009,1.94686E+000
1,1,90,-4.11000E+000,-3.42130E-009,1.96808E+000
1,1,91,-4.09999E+000,-3.90410E-009,1.98971E+000
1,1,92,-4.09001E+000,-4.11130E-009,2.01102E+000
1,1,93,-4.08001E+000,-3.61840E-009,2.03232E+000
1,1,94,-4.06999E+000,-3.67900E-009,2.05407E+000
1,1,95,-4.05999E+000,-4.14270E-009,2.07536E+000
1,1,96,-4.05001E+000,-3.81540E-009,2.09666E+000
1,1,97,-4.04000E+000,-3.43390E-009,2.11797E+000
1,1,98,-4.03000E+000,-3.44810E-009,2.15149E+000
1,1,99,-4.01999E+000,-3.92860E-009,2.17279E+000
1,1,100,-4.01001E+000,-4.19090E-009,2.19449E+000
1,1,101,-4.00001E+000,-3.73260E-009,2.21580E+000
1,1,102,-3.98999E+000,-3.76950E-009,2.23709E+000
1,1,103,-3.97999E+000,-4.25450E-009,2.25837E+000
1,1,104,-3.97001E+000,-3.99900E-009,2.27966E+000
1,1,105,-3.96000E+000,-3.58210E-009,2.30153E+000
1,1,106,-3.94999E+000,-4.03390E-009,2.32290E+000
1,1,107,-3.94001E+000,-4.25430E-009,2.34416E+000
1,1,108,-3.93001E+000,-3.72780E-009,2.36585E+000
1,1,109,-3.91999E+000,-3.79770E-009,2.38725E+000
1,1,110,-3.90999E+000,-4.27090E-009,2.40850E+000
1,1,111,-3.90001E+000,-3.95020E-009,2.42980E+000
1,1,112,-3.89000E+000,-3.61810E-009,2.45111E+000
1,1,113,-3.87999E+000,-4.00850E-009,2.47236E+000
1,1,114,-3.87001E+000,-4.30060E-009,2.49366E+000
1,1,115,-3.86001E+000,-3.83840E-009,2.51497E+000
1,1,116,-3.84999E+000,-3.81840E-009,2.53717E+000
1,1,117,-3.83999E+000,-4.27560E-009,2.55851E+000
1,1,118,-3.83001E+000,-3.97680E-009,2.57979E+000
1,1,119,-3.82000E+000,-3.58430E-009,2.60109E+000
1,1,120,-3.80999E+000,-4.17710E-009,2.62409E+000
1,1,121,-3.80001E+000,-4.10320E-009,2.64539E+000
1,1,122,-3.78999E+000,-4.28020E-009,2.67508E+000
1,1,123,-3.78001E+000,-4.00620E-009,2.69640E+000
1,1,124,-3.77000E+000,-3.60450E-009,2.71768E+000
1,1,125,-3.76000E+000,-4.04670E-009,2.73933E+000
1,1,126,-3.75001E+000,-4.26390E-009,2.76062E+000
1,1,127,-3.74001E+000,-3.80660E-009,2.78192E+000
1,1,128,-3.72999E+000,-3.86710E-009,2.80407E+000
1,1,129,-3.72000E+000,-4.28470E-009,2.82535E+000
1,1,130,-3.71001E+000,-3.96160E-009,2.84665E+000
1,1,131,-3.70000E+000,-3.61180E-009,2.86794E+000
1,1,132,-3.68999E+000,-4.03350E-009,2.88920E+000
1,1,133,-3.68001E+000,-4.23640E-009,2.91052E+000
1,1,134,-3.67001E+000,-3.81230E-009,2.93180E+000
1,1,135,-3.65999E+000,-3.75960E-009,2.95306E+000
1,1,136,-3.64999E+000,-4.19410E-009,2.97436E+000
1,1,137,-3.64001E+000,-4.05500E-009,2.99567E+000
1,1,138,-3.63001E+000,-3.67710E-009,3.01697E+000
1,1,139,-3.61999E+000,-3.96020E-009,3.03827E+000
1,1,140,-3.61000E+000,-4.29400E-009,3.05958E+000
1,1,141,-3.60001E+000,-3.86960E-009,3.08133E+000
1,1,142,-3.58999E+000,-3.72090E-009,3.10264E+000
1,1,143,-3.57999E+000,-4.14780E-009,3.12390E+000
1,1,144,-3.57001E+000,-4.06890E-009,3.14518E+000
1,1,145,-3.56001E+000,-3.65940E-009,3.16648E+000
1,1,146,-3.55001E+000,-3.87510E-009,3.19735E+000
1,1,147,-3.54000E+000,-3.69310E-009,3.21866E+000
1,1,148,-3.52999E+000,-4.18190E-009,3.24024E+000
1,1,149,-3.52001E+000,-4.17190E-009,3.26155E+000
1,1,150,-3.51001E+000,-3.73380E-009,3.28294E+000
1,1,151,-3.49999E+000,-3.92620E-009,3.30424E+000
1,1,152,-3.49000E+000,-4.34020E-009,3.32551E+000
1,1,153,-3.48001E+000,-4.00340E-009,3.34676E+000
1,1,154,-3.47000E+000,-3.69770E-009,3.36804E+000
1,1,155,-3.45999E+000,-4.10780E-009,3.38934E+000
1,1,156,-3.45001E+000,-4.26970E-009,3.41064E+000
1,1,157,-3.44001E+000,-3.81790E-009,3.43192E+000
1,1,158,-3.42999E+000,-3.80690E-009,3.45320E+000
1,1,159,-3.41999E+000,-4.25720E-009,3.47453E+000
1,1,160,-3.41001E+000,-4.05720E-009,3.49586E+000
1,1,161,-3.40001E+000,-3.64780E-009,3.51715E+000
1,1,162,-3.38999E+000,-3.96690E-009,3.53844E+000
1,1,163,-3.38000E+000,-4.27600E-009,3.55971E+000
1,1,164,-3.37001E+000,-3.79480E-009,3.58123E+000
1,1,165,-3.35999E+000,-3.64740E-009,3.60251E+000
1,1,166,-3.34999E+000,-4.09480E-009,3.62381E+000
1,1,167,-3.34002E+000,-4.05420E-009,3.64512E+000
1,1,168,-3.33001E+000,-3.65240E-009,3.66638E+000
1,1,169,-3.31999E+000,-3.87340E-009,3.68767E+000
1,1,170,-3.31000E+000,-3.93240E-009,3.72207E+000
1,1,171,-3.30001E+000,-4.16920E-009,3.74335E+000
1,1,172,-3.29001E+000,-3.78730E-009,3.76537E+000
